seqs,solution,target,target_index
"[37, 490, 4, 10, 76, 306, 93, 163, 58, 2055, 4, 58, 2056, 4, 808, 177, 3, 47, 36, 1129, 8, 591, 225, 188, 2]","[0, 0, 1]",[9],2
"[1, 5, 12, 178, 3014, 25, 15, 12, 205, 4, 29, 23, 225, 188, 2]","[0, 0, 1]",[5],4
"[72, 1311, 13, 220, 2057, 3, 220, 890, 3, 59, 254, 4, 127, 2]","[0, 1, 0]",[5],4
"[1, 93, 891, 12, 1, 117, 73, 3, 101, 12, 326, 3, 998, 3, 4, 3015, 2]","[0, 0, 1]",[11],1
"[307, 221, 16, 369, 13, 809, 1130, 3, 104, 100, 208, 27, 463, 6, 196, 92, 2]","[0, 0, 1]",[5],4
"[4, 36, 999, 6, 70, 250, 34, 1, 414, 22]","[0, 0, 1]",[24],0
"[36, 39, 222, 6, 2058, 43, 72, 1312, 13, 709, 130, 810, 1584, 16, 1585, 892, 44, 4, 30, 144, 464, 2]","[1, 0, 0]",[5],4
"[91, 2]","[0, 1, 0]",[9],2
"[18, 41, 442, 8, 40, 178, 278, 2]","[1, 0, 0]",[9],2
"[893, 7, 178, 29, 3, 25, 136, 30, 20, 2]","[0, 0, 1]",[5],4
"[671, 66, 3016, 18, 3017, 2]","[0, 1, 0]",[9],2
"[1000, 1, 754, 83, 219, 15, 6, 183, 1313, 3, 25, 15, 280, 35, 2]","[0, 1, 0]",[9],2
"[30, 1, 491, 166, 3018, 3019, 41, 2]","[0, 0, 1]",[21],3
"[67, 1586, 209, 7, 1, 2059, 23, 1314, 4, 145, 43, 306, 1, 327, 28, 402, 317, 8, 808, 1, 223, 16, 533, 45, 17, 63, 8, 1131, 226, 1125, 44, 2]","[0, 0, 1]",[5],4
"[97, 5, 1315, 1316, 3, 18, 26, 7, 13, 111, 112, 1587, 29, 5, 2]","[0, 0, 1]",[5],4
"[25, 61, 57, 223, 7, 2060, 137, 1317, 443, 461, 23, 348, 53, 6, 223, 27, 68, 463, 72, 2061, 7, 115, 208, 3, 25, 15, 7, 72, 1588, 55, 2]","[0, 0, 1]",[24],0
"[18, 26, 7, 91, 2062, 25, 36, 31, 1589, 80, 1, 115, 1318, 386, 14, 6, 41, 3, 1, 5, 2]","[1, 0, 0]",[5],4
"[108, 3, 49, 17, 56, 35, 167, 8, 318, 32, 6, 1001, 124, 3, 17, 56, 35, 31, 8, 22]","[0, 0, 1]",[11],1
"[131, 90, 3020]","[0, 0, 1]",[9],2
"[98, 4, 37, 811, 76, 136, 48, 84, 2]","[0, 0, 1]",[9],2
"[18, 26, 7, 91, 2062, 25, 36, 31, 1589, 80, 1, 115, 1318, 386, 14, 6, 41, 3, 1, 5, 2]","[0, 0, 1]",[9],2
"[1, 335, 2063, 98, 4, 7, 38, 86, 3, 403, 1132, 88, 37, 387, 7, 4, 27, 33, 1, 370, 2064, 892, 23, 1, 2065, 1002, 4, 1, 1590, 2066, 34, 2067, 2]","[0, 0, 1]",[5],4
"[10, 107, 1, 534, 348, 3, 3021, 43, 3022, 44, 3, 4, 384, 23, 465, 2]","[0, 0, 1]",[5],4
"[49, 17, 56, 35, 516, 2068, 710, 146, 214, 3, 2069, 73, 4, 6, 106, 328, 27, 557, 52, 197, 7, 1591, 174, 18, 7, 69, 26, 2]","[1, 0, 0]",[5],4
"[18, 26, 3, 206, 3, 66, 6, 196, 347, 2070, 100, 894, 4, 1, 137, 5, 7, 215, 2071, 2]","[0, 0, 1]",[5],4
"[1, 5, 517, 415, 262, 150, 10, 634, 3, 308, 4, 672, 2]","[1, 0, 0]",[11],1
"[50, 10, 83, 179, 7, 72, 220, 2072, 349, 336, 368, 4, 1, 105, 14, 1, 2073, 895, 17, 243, 189, 16, 1, 153, 3, 168, 1, 146, 7, 105, 14, 1, 57, 2]","[0, 0, 1]",[5],4
"[17, 76, 30, 40, 1592, 32, 50, 2]","[0, 0, 1]",[9],2
"[36, 28, 251, 23, 6, 673, 254, 4, 1, 188, 28, 201, 13, 134, 2]","[0, 0, 1]",[24],0
"[19, 48, 263, 2]","[0, 1, 0]",[9],2
"[135, 19, 154, 35, 31, 6, 350, 3, 19, 122, 93, 318, 16, 1, 84, 535, 3, 25, 15, 12, 20, 3, 3023, 4, 201, 16, 82, 1593, 2]","[0, 0, 1]",[21],3
"[11, 7, 1319, 3, 300, 30, 896, 3, 4, 1, 155, 1133, 6, 202, 14, 812, 1320, 258, 1134, 2]","[0, 0, 1]",[11],1
"[1, 145, 2074, 12, 1321, 25, 42, 2075, 1003, 237, 4, 3024, 434, 4, 1, 145, 23, 2076, 1004, 2077, 14, 711, 3, 1135, 145, 23, 404, 237, 2]","[1, 0, 0]",[5],4
"[10, 444, 15, 4, 68, 165, 107, 2]","[0, 0, 1]",[9],2
"[46, 12, 6, 130, 301, 14, 102, 190, 1005, 8, 125, 3025, 388, 34, 6, 2078, 4, 19, 674, 103, 32, 1594, 2]","[0, 1, 0]",[9],2
"[52, 1595, 492, 416, 493, 54, 6, 170, 2079, 85, 19, 31, 592, 492, 1596, 15, 2080, 2081, 2]","[1, 0, 0]",[5],4
"[1, 460, 1136, 103, 7, 593, 3026, 4, 10, 813, 594, 1597, 68, 63, 105, 29, 73, 3, 135, 536, 1, 3027, 58, 18, 7, 6, 20, 26, 2]","[1, 0, 0]",[11],1
"[18, 26, 7, 8, 40, 3028, 2]","[1, 0, 0]",[9],2
"[1, 2082, 537, 1598, 371, 6, 196, 8, 40, 1322, 3, 25, 1, 5, 7, 38, 29, 2]","[0, 0, 1]",[5],4
"[15, 33, 52, 36, 309, 3029, 145, 3, 2083, 814, 4, 2084, 1599, 3030, 133, 15, 43, 1, 237, 12, 3031, 4, 675, 44, 2]","[1, 0, 0]",[5],4
"[1, 5, 7, 70, 4, 1323, 494, 807, 23, 1, 86, 4, 897, 11, 2]","[0, 0, 1]",[11],1
"[1, 337, 2085, 7, 6, 20, 3032, 3, 36, 1006, 15, 13, 17, 32, 1, 124, 2]","[0, 0, 1]",[5],4
"[18, 7, 1, 57, 1600, 41, 16, 1, 3033, 164, 2]","[0, 0, 1]",[5],4
"[1, 74, 7, 149, 104, 100, 2086, 43, 92, 712, 4, 1137, 44, 2]","[0, 0, 1]",[21],3
"[1324, 22, 198, 31, 10, 1325, 18, 58, 3, 255, 635, 2087, 180, 302, 13, 1, 172, 87, 4, 338, 199, 88, 1, 261, 116, 4, 175, 92, 16, 1, 191, 1601, 898, 2]","[0, 0, 1]",[9],2
"[10, 234, 259, 4, 10, 91, 372, 52, 389, 22, 22, 22]","[0, 0, 1]",[9],2
"[1, 21, 7, 38, 210, 4, 136, 6, 29, 26, 8, 390, 6, 270, 2]","[0, 0, 1]",[21],3
"[713, 34, 755, 2088, 7, 466, 1602, 2]","[1, 0, 0]",[9],2
"[1, 5, 7, 38, 29, 13, 15, 33, 24, 3, 104, 100, 115, 370, 435, 10, 75, 42, 2]","[0, 0, 1]",[5],4
"[10, 79, 56, 30, 518, 88, 1, 1603, 7, 50, 80, 2]","[1, 0, 0]",[9],2
"[128, 3034, 33, 7, 79, 467, 3, 67, 209, 329, 26, 16, 3035, 3, 2089, 1, 57, 1604, 10, 31, 129, 42, 22]","[0, 0, 1]",[5],4
"[32, 445, 435, 13, 72, 714, 3, 17, 79, 83, 30, 48, 405, 2]","[0, 0, 1]",[24],0
"[91, 3036, 34, 69, 1326, 22]","[0, 1, 0]",[9],2
"[14, 436, 1, 636, 141, 45, 637, 7, 135, 1, 5, 7, 45, 70, 22]","[0, 0, 1]",[5],4
"[1, 5, 12, 1007, 2]","[0, 1, 0]",[5],4
"[1, 11, 12, 325, 2]","[0, 1, 0]",[11],1
"[2090, 34, 37, 3037, 34, 1, 595, 87, 197, 2091, 133, 98, 8, 3038, 1327, 2]","[1, 0, 0]",[11],1
"[18, 7, 105, 91, 29, 3, 446, 106, 2]","[0, 0, 1]",[5],4
"[676, 715, 3, 4, 36, 2092, 34, 1, 1138, 3, 3039, 36, 31, 596, 16, 1, 535, 3, 174, 14, 436, 1, 1328, 28, 30, 815, 2]","[1, 0, 0]",[11],1
"[19, 264, 48, 84, 142]","[0, 0, 1]",[9],2
"[36, 28, 30, 495, 16, 1, 265, 4, 76, 271, 17, 1, 816, 756, 173, 45, 71, 1, 87, 1, 1329, 270, 391, 173, 17, 76, 30, 93, 2093, 3040, 18, 26, 3, 25, 108, 899, 3041, 22]","[1, 0, 0]",[11],1
"[1, 5, 1330, 3042, 2]","[0, 0, 1]",[5],4
"[2094, 1, 468, 7, 1139, 100, 115, 3, 15, 7, 1, 57, 11, 17, 76, 189, 16, 89, 1, 1605, 14, 110, 2]","[1, 0, 0]",[21],3
"[713, 817, 38, 114, 214, 3, 66, 6, 812, 3, 712, 227, 3, 1140, 462, 34, 755, 638, 1141, 4, 86, 11, 2]","[0, 0, 1]",[21],3
"[1, 716, 7, 38, 597, 4, 351, 3, 11, 12, 20, 4, 1, 5, 12, 65, 22]","[0, 0, 1]",[11],1
"[1, 716, 7, 38, 597, 4, 351, 3, 11, 12, 20, 4, 1, 5, 12, 65, 22]","[0, 0, 1]",[5],4
"[94, 144, 1, 598, 3, 538, 8, 153, 1331, 4, 818, 1606, 3043, 2]","[0, 0, 1]",[9],2
"[45, 3, 13, 29, 5, 10, 264, 107, 15, 3, 25, 30, 13, 6, 286, 121, 60, 2]","[1, 0, 0]",[21],3
"[1, 1332, 4, 74, 7, 79, 47, 29, 2]","[0, 0, 1]",[21],3
"[1607, 469, 244, 2095, 13, 1, 5, 3, 2096, 13, 1, 11, 2]","[1, 0, 0]",[11],1
"[10, 444, 18, 26, 22, 22]","[0, 0, 1]",[9],2
"[115, 14, 1, 717, 28, 38, 156, 3, 86, 4, 228, 1008, 2]","[0, 0, 1]",[11],1
"[1, 3044, 12, 325, 158, 1, 3045, 12, 599, 2]","[1, 0, 0]",[5],4
"[167, 8, 1009, 203]","[0, 1, 0]",[9],2
"[10, 118, 8, 1333, 150, 6, 229, 385, 15, 2]","[0, 1, 0]",[9],2
"[79, 56, 35, 56, 15, 2]","[1, 0, 0]",[9],2
"[3046, 4, 3047, 56, 392, 1142, 2]","[0, 1, 0]",[5],4
"[1, 900, 12, 20, 3, 108, 2]","[0, 0, 1]",[5],4
"[118, 34, 6, 2097, 270, 23, 229, 4, 272, 819, 13, 6, 281, 127, 4, 310, 2]","[0, 1, 0]",[9],2
"[19, 3048, 23, 1, 230, 1010, 43, 1, 1143, 1608, 44, 4, 1609, 3049, 4, 3050, 8, 1610, 2]","[0, 1, 0]",[5],4
"[4, 50, 14, 27, 417, 35, 901, 69, 1011, 22]","[0, 0, 1]",[24],0
"[8, 820, 14, 1, 755, 282, 3, 1334, 83, 30, 3051, 2]","[0, 1, 0]",[9],2
"[1, 1611, 3, 1, 352, 1335, 3, 5, 3, 4, 89, 50, 1, 470, 28, 50, 757, 406, 2]","[0, 0, 1]",[5],4
"[758, 3, 18, 26, 66, 20, 11, 4, 62, 4, 6, 82, 86, 74, 2]","[0, 0, 1]",[11],1
"[29, 13, 1612, 64, 23, 159, 2]","[0, 0, 1]",[9],2
"[13, 279, 27, 48, 273, 4, 56, 35, 287, 15, 3, 50, 10, 83, 179, 7, 27, 36, 79, 56, 35, 63, 15, 2]","[0, 0, 1]",[9],2
"[1, 26, 7, 6, 128, 3052, 4, 34, 6, 308, 330, 3, 1, 596, 71, 1, 3053, 83, 40, 178, 3054, 2]","[1, 0, 0]",[21],3
"[1, 11, 12, 65, 4, 1, 5, 12, 70, 2]","[0, 0, 1]",[11],1
"[71, 1, 87, 19, 39, 519, 3, 15, 12, 471, 3055, 2]","[0, 1, 0]",[9],2
"[1, 11, 12, 319, 3, 4, 1, 718, 14, 1144, 2098, 132, 13, 6, 347, 100, 447, 119, 2]","[1, 0, 0]",[21],3
"[10, 56, 35, 63, 15, 3, 88, 33, 45, 170, 80, 2099, 203]","[1, 0, 0]",[9],2
"[17, 252, 31, 1, 2100, 1145, 101, 7, 60, 14, 18, 353, 4, 1, 558, 416, 1336, 13, 250, 2]","[0, 0, 1]",[5],4
"[5, 12, 29, 30, 20, 30, 144, 1, 117, 64, 373, 216]","[1, 0, 0]",[11],1
"[593, 1, 2101, 14, 59, 156, 192, 2]","[0, 0, 1]",[11],1
"[13, 1, 462, 3, 1, 62, 28, 38, 181, 2]","[0, 0, 1]",[24],0
"[18, 7, 1, 201, 221, 13, 1337, 159, 3, 407, 134, 3, 109, 3, 1338, 64, 2102, 127, 22]","[0, 0, 1]",[9],2
"[1, 145, 4, 337, 39, 1613, 4, 418, 8, 1146, 3, 4, 1, 465, 3056, 7, 20, 13, 3057, 2103, 2]","[0, 0, 1]",[5],4
"[11, 12, 65, 3, 4, 1, 1614, 902, 38, 94, 95, 43, 903, 2104, 3, 15, 12, 205, 22, 44, 2]","[0, 0, 1]",[11],1
"[1, 214, 7, 114, 4, 441, 821, 7, 1577, 8, 1146, 4, 1613, 71, 1, 106, 328, 43, 306, 23, 6, 128, 114, 3058, 4, 1126, 237, 25, 108, 677, 23, 105, 719, 1147, 44, 2]","[0, 0, 1]",[5],4
"[1012, 33, 66, 51, 6, 166, 1615, 13, 133, 539, 218, 2]","[0, 0, 1]",[9],2
"[11, 12, 354, 2]","[0, 0, 1]",[11],1
"[1013, 33, 66, 639, 5, 4, 6, 82, 155, 32, 181, 62, 2]","[0, 0, 1]",[24],0
"[136, 6, 20, 221, 13, 6, 82, 720, 64, 270, 2]","[0, 0, 1]",[9],2
"[182, 111, 16, 67, 472, 372, 52, 419, 367, 3, 4, 1014, 1015, 2105, 23, 182, 20, 147, 27, 39, 30, 16, 61, 387, 78, 2]","[0, 0, 1]",[11],1
"[1, 5, 33, 3059, 1148, 2106, 1, 1616, 3, 593, 3060, 1, 3061, 14, 211, 137, 288, 2]","[0, 0, 1]",[5],4
"[18, 7, 1, 3062, 4, 3063, 1, 110, 34, 1, 1339, 2]","[0, 1, 0]",[9],2
"[1, 11, 7, 86, 3, 49, 30, 1, 115, 326, 16, 1, 353, 3, 1, 5, 7, 20, 3, 4, 1, 62, 3, 113, 30, 162, 3, 417, 35, 640, 69, 600, 60, 14, 2107, 2]","[0, 0, 1]",[5],4
"[25, 27, 7, 165, 3064, 2]","[0, 0, 1]",[9],2
"[496, 39, 245, 2]","[0, 0, 1]",[5],4
"[10, 234, 822, 120, 8, 1, 164, 4, 255, 601, 6, 1340, 34, 904, 4, 12, 283, 23, 1, 11, 4, 10, 355, 1, 5, 12, 1341, 4, 34, 1, 408, 282, 2]","[1, 0, 0]",[5],4
"[65, 134, 759, 13, 93, 72, 2108, 2]","[0, 0, 1]",[5],4
"[45, 905, 10, 160, 35, 1149, 18, 104, 2]","[0, 1, 0]",[9],2
"[12, 760, 283, 2]","[1, 0, 0]",[9],2
"[1, 11, 12, 156, 3, 300, 1617, 3, 1, 5, 12, 374, 104, 100, 175, 1016, 110, 16, 641, 4, 1, 81, 204, 7, 497, 4, 94, 224, 2]","[0, 0, 1]",[11],1
"[89, 1, 81, 71, 1, 298, 12, 29, 2]","[0, 0, 1]",[5],4
"[10, 118, 32, 1618, 906, 1619, 13, 1, 1150, 78, 43, 72, 1151, 13, 1342, 1003, 296, 23, 2109, 3, 337, 1620, 3, 1343, 1152, 44, 4, 15, 12, 2110, 2]","[0, 0, 1]",[5],4
"[54, 1, 761, 17, 1621, 1153, 1, 761, 17, 473, 60, 1, 86, 4, 495, 73, 12, 12, 79, 245, 2]","[0, 0, 1]",[11],1
"[1017, 3, 85, 17, 31, 213, 11, 3, 27, 33, 347, 249, 17, 31, 8, 721, 2]","[1, 0, 0]",[11],1
"[1, 155, 7, 91, 3065, 3, 4, 30, 32, 50, 762, 64, 2111, 2]","[1, 0, 0]",[21],3
"[1, 5, 7, 823, 4, 1, 62, 55, 28, 319, 2]","[0, 1, 0]",[24],0
"[722, 10, 179, 45, 135, 15, 559, 3066, 13, 111, 112, 52, 3067, 3068, 763, 5, 3, 25, 1622, 60, 8, 40, 1154, 756, 4, 520, 2]","[1, 0, 0]",[11],1
"[19, 420, 32, 18, 137, 26, 1623, 1, 289, 25, 38, 2112, 23, 1, 678, 2]","[1, 0, 0]",[5],4
"[25, 10, 264, 48, 84]","[0, 0, 1]",[9],2
"[15, 33, 3069, 130, 4, 27, 2113, 8, 59, 1624, 27, 7, 339, 351, 4, 210, 3, 89, 2]","[0, 0, 1]",[21],3
"[49, 17, 167, 8, 602, 105, 249, 3, 56, 35, 48, 55, 2]","[1, 0, 0]",[24],0
"[1, 93, 2114, 375, 12, 49, 19, 176, 6, 560, 3, 1, 335, 68, 31, 466, 3070, 1, 298, 24, 3071, 3, 101, 285, 97, 824, 2115, 2]","[1, 0, 0]",[24],0
"[10, 303, 1, 41, 12, 95, 474, 43, 85, 311, 44, 8, 40, 210, 2]","[1, 0, 0]",[21],3
"[19, 212, 521, 421, 764, 721, 43, 101, 19, 31, 99, 519, 536, 319, 5, 4, 11, 44, 3, 135, 19, 372, 757, 1155, 246, 2]","[0, 1, 0]",[5],4
"[10, 131, 85, 110, 303, 2116, 907, 200, 3072, 285, 1, 5, 312, 288, 3, 89, 23, 97, 765, 198, 8, 766, 177, 2]","[1, 0, 0]",[5],4
"[18, 7, 83, 1625, 34, 2117, 14, 1, 261, 235, 5, 603, 3073, 2]","[0, 1, 0]",[9],2
"[1, 5, 12, 70, 3, 1, 74, 12, 597, 3, 4, 19, 31, 338, 2118, 356, 2119, 47, 67, 679, 34, 595, 22]","[0, 0, 1]",[21],3
"[19, 212, 521, 421, 764, 721, 43, 101, 19, 31, 99, 519, 536, 319, 5, 4, 11, 44, 3, 135, 19, 372, 757, 1155, 246, 2]","[1, 0, 0]",[24],0
"[31, 313, 32, 1156, 414, 475, 116, 3, 4, 15, 33, 77, 29, 2]","[0, 0, 1]",[9],2
"[1, 5, 12, 290, 4, 70, 2]","[0, 0, 1]",[5],4
"[10, 42, 38, 357, 1157, 13, 18, 26, 4, 132, 6, 350, 6, 437, 14, 825, 16, 3074, 13, 6, 170, 720, 2]","[0, 1, 0]",[9],2
"[36, 31, 15, 50, 158, 20, 24, 3, 5, 3, 4, 11, 2]","[0, 0, 1]",[11],1
"[1, 5, 7, 20, 4, 36, 31, 6, 29, 2120, 14, 498, 32, 181, 62, 2]","[0, 0, 1]",[5],4
"[1, 5, 46, 28, 3075, 2]","[0, 0, 1]",[5],4
"[19, 3076, 85, 197, 376, 1018, 102, 6, 250, 78, 4, 19, 291, 6, 421, 3077, 721, 3, 101, 12, 1344, 3, 10, 266, 2]","[1, 0, 0]",[11],1
"[30, 260, 267, 1, 1019, 1158, 3, 2121, 3, 767, 3, 25, 893, 7, 16, 6, 20, 191, 4, 66, 20, 5, 22]","[0, 0, 1]",[21],3
"[1, 26, 7, 6, 476, 101, 1020, 244, 377, 147, 4, 81, 251, 1345, 16, 6, 1626, 74, 2]","[0, 0, 1]",[5],4
"[1017, 407, 1, 124, 19, 42, 51, 1346, 604, 8, 126, 41, 1159, 540, 193, 19, 39, 212, 231, 3, 19, 39, 251, 147, 19, 42, 35, 171, 304, 116, 3, 723, 58, 14, 67, 1347, 415, 262, 150, 1, 541, 14, 1, 124, 42, 51, 251, 43, 4, 27, 163, 12, 1627, 44, 3, 4, 1348, 72, 1021, 92, 100, 19, 280, 31, 51, 34, 67, 358, 2]","[1, 0, 0]",[11],1
"[1, 5, 188, 28, 91, 225, 2]","[0, 0, 1]",[5],4
"[20, 157, 5, 4, 1, 11, 7, 477, 2]","[0, 0, 1]",[5],4
"[37, 159, 4, 10, 826, 194, 230, 4, 6, 70, 3, 120, 605, 78, 32, 1143, 180, 121, 2]","[0, 0, 1]",[5],4
"[10, 31, 51, 8, 908, 33, 489, 499, 116, 1, 471, 459, 218, 4, 15, 1160, 478, 104, 2]","[0, 0, 1]",[9],2
"[15, 33, 1628, 542, 3, 2122, 8, 1, 1629, 2123, 2124, 103, 34, 2125, 768, 3, 45, 46, 33, 92, 1630, 23, 1, 5, 100, 17, 264, 413, 43, 2126, 3, 760, 114, 44, 2]","[0, 0, 1]",[21],3
"[37, 490, 42, 1, 370, 348, 101, 28, 334, 4, 444, 15, 2]","[0, 0, 1]",[5],4
"[1, 1631, 3078, 7, 59, 194, 250, 47, 94, 2]","[0, 0, 1]",[5],4
"[20, 5, 3, 29, 561, 78, 3, 20, 11, 4, 59, 1632, 562, 2]","[0, 0, 1]",[21],3
"[106, 12, 35, 384, 522, 13, 1, 24, 2]","[1, 0, 0]",[24],0
"[49, 17, 52, 69, 359, 2127, 4, 1, 2128, 2129, 27, 20, 4, 49, 17, 167, 8, 292, 32, 265, 539, 1022, 560, 2130, 174, 17, 243, 131, 15, 55, 2]","[1, 0, 0]",[24],0
"[197, 1023, 360, 2131, 16, 272, 5, 4, 272, 543, 2]","[0, 0, 1]",[5],4
"[232, 6, 676, 1161, 89, 168, 46, 7, 680, 15, 7, 1633, 144, 15]","[0, 0, 1]",[9],2
"[11, 12, 827, 909, 2]","[0, 0, 1]",[11],1
"[18, 26, 66, 1, 1, 2132, 21, 4, 59, 65, 73, 8, 143, 17, 266, 52, 6, 1024, 4, 6, 229, 32, 1, 340, 87, 2]","[0, 0, 1]",[21],3
"[1, 24, 12, 339, 181, 13, 1, 310, 4, 5, 19, 420, 2]","[0, 0, 1]",[24],0
"[232, 3, 10, 184, 215, 378, 27, 1, 26, 89, 2133, 4, 1, 62, 28, 228, 278, 25, 174, 142, 3, 141, 422, 2]","[0, 1, 0]",[9],2
"[49, 17, 1349, 6, 213, 500, 3, 15, 33, 135, 17, 56, 35, 518, 88, 908, 33, 7, 50, 80, 2]","[0, 0, 1]",[9],2
"[20, 5, 32, 181, 62, 2]","[0, 0, 1]",[24],0
"[19, 131, 3079, 1162, 1634, 2]","[0, 0, 1]",[9],2
"[37, 1163, 309, 98, 8, 1635, 180, 302, 13, 37, 448, 4, 10, 122, 35, 681, 1, 5, 2]","[0, 1, 0]",[9],2
"[57, 223, 7, 3080, 393, 2]","[0, 0, 1]",[5],4
"[19, 75, 51, 8, 2134, 304, 116, 4, 30, 273, 66, 59, 1350, 34, 1, 78, 283, 2]","[0, 0, 1]",[5],4
"[150, 3081, 23, 1164, 90, 50, 133, 1, 3082, 191, 53, 10, 75, 277, 128, 3083, 2]","[0, 0, 1]",[9],2
"[18, 7, 6, 409, 26, 4, 122, 40, 29, 25, 36, 341, 8, 63, 61, 3084, 1142, 2]","[0, 0, 1]",[21],3
"[32, 3085, 3, 19, 39, 1, 1636, 472, 46, 2]","[0, 1, 0]",[9],2
"[1, 26, 7, 45, 256, 4, 1, 11, 7, 326, 4, 2135, 2]","[0, 0, 1]",[21],3
"[36, 39, 724, 8, 3086, 98, 16, 32, 501, 150, 10, 634, 1, 121, 193, 37, 910, 13, 6, 682, 121, 350, 4, 479, 98, 36, 264, 725, 102, 94, 13, 1, 720, 2]","[0, 1, 0]",[9],2
"[10, 813, 36, 68, 1025, 84, 8, 88, 15, 12, 193, 2]","[1, 0, 0]",[9],2
"[79, 48, 4, 316, 13, 502, 2]","[0, 1, 0]",[9],2
"[67, 704, 12, 38, 495, 4, 86, 2]","[0, 0, 1]",[11],1
"[18, 7, 6, 82, 41, 49, 17, 28, 190, 13, 6, 29, 26, 8, 769, 59, 642, 109, 1337, 23, 543, 3087, 2]","[0, 0, 1]",[9],2
"[10, 606, 118, 8, 18, 41, 23, 105, 1351, 13, 134, 4, 42, 59, 194, 87, 2]","[0, 0, 1]",[9],2
"[10, 42, 503, 2136, 15, 66, 220, 2137, 2, 14, 2138, 503, 16, 15, 2]","[0, 0, 1]",[5],4
"[3088, 3, 18, 7, 30, 1, 26, 13, 1352, 828, 14, 214, 2139, 1, 356, 43, 4, 903, 2140, 3, 16, 37, 1026, 44, 25, 13, 377, 3, 1637, 106, 46, 7, 97, 104, 26, 16, 120, 217, 64, 633, 16, 1, 102, 2]","[0, 0, 1]",[5],4
"[1, 3089, 12, 65, 3, 423, 1, 911, 3, 47, 39, 1, 912, 434, 3090, 2]","[0, 0, 1]",[5],4
"[810, 147, 338, 2141, 1, 913, 3, 361, 46, 33, 215, 6, 225, 1353, 14, 3091, 590, 2]","[0, 1, 0]",[5],4
"[88, 59, 194, 119, 4, 123, 22]","[0, 0, 1]",[5],4
"[361, 19, 39, 190, 13, 387, 2142, 4, 105, 2143, 1, 496, 19, 176, 39, 20, 2]","[0, 0, 1]",[5],4
"[150, 6, 424, 1027, 3, 10, 1165, 1354, 4, 2144, 8, 48, 8, 214, 1127, 34, 6, 1019, 500, 4, 1, 1354, 3092, 2]","[0, 1, 0]",[9],2
"[15, 33, 79, 3093, 2, 90, 2]","[0, 1, 0]",[5],4
"[1307, 3, 1, 5, 7, 29, 3, 1, 24, 7, 297, 4, 36, 31, 6, 278, 81, 204, 2]","[0, 0, 1]",[5],4
